name,sa2_name,postcode
Macfarlane Lookout Natural Features and Scenic Reserve,Bruthen - Omeo,3699.0
Winyayung Bushland Reserve,Glenelg (Vic.),3292.0
Bald Hill Nature Conservation Reserve,Flinders,3916.0
Omeo Forest Park,Bruthen - Omeo,3699.0
Lower Cann River Nature Conservation Reserve,Orbost,3885.0
Ellesmere Bushland Reserve,Bendigo Surrounds - North,3556.0
Turoar I150 Bushland Reserve,Swan Hill Surrounds,3544.0
Duddo Wells Bushland Reserve,Mildura Surrounds,3489.0
Mitchell River Silt Jetties Gippsland Lakes Reserve,Bairnsdale,
Koorangie Wildlife Reserve (hunting),Gannawarra,3527.0
Berringa Historic Reserve,Golden Plains - North,3360.0
Stuart Mill Nature Conservation Reserve,St Arnaud,3465.0
Sheepwash Flora Reserve,Nhill Region,3414.0
Cobboboonee Forest Park,Glenelg (Vic.),3292.0
River Murray Reserve,Rutherglen,3687.0
Miepoll South Natural Features Reserve,Euroa,
Mullagong I36 Bushland Reserve,Bright - Mount Beauty,3697.0
Annuello Flora and Fauna Reserve,Mildura Surrounds,3489.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Grant Historic Area,Alps - West,3723.0
Tarra-Bulga National Park,Yarram,3844.0
Koonwarra Flora Reserve,Leongatha,3823.0
Proposed Murray River Park (part),Numurkah,3635.0
Tutye Bushland Reserve,Mildura Surrounds,3489.0
Greater Bendigo National Park,Flora Hill - Spring Gully,3500.0
Cale Donian Bushland Reserve,Maryborough Surrounds,3370.0
Krause Swamp Wildlife Reserve (no hunting),Southern Grampians,3294.0
Kinglake National Park,Panton Hill - St Andrews,3099.0
Deep Lead Nature Conservation Reserve (No. 1),Stawell,3374.0
Seven Creeks Wildlife Reserve (no hunting),Euroa,3556.0
Port Campbell National Park,Corangamite - South,3260.0
Waanyarra Nature Conservation Reserve,Loddon,3463.0
Stuart Mill Nature Conservation Reserve,St Arnaud,3465.0
Kinglake National Park,Kinglake,
Queenscliff Natural Features Reserve,Point Lonsdale - Queenscliff,3225.0
Bendigo Regional Park,Kangaroo Flat - Golden Square,3555.0
Neerim G209 Bushland Reserve,Mount Baw Baw Region,3831.0
Bell Rock Company mine Historic & Cultural Features Res.,St Arnaud,3465.0
Dookie - Katamatite rail line Bushland Reserve,Moira,3649.0
Great Otway National Park,Otway,3233.0
Ecologically Managed Minor Area Park,Gannawarra,3527.0
Broken-Boosey State Park,Moira,3649.0
Bambill Bushland Reserve,Mildura Surrounds,3489.0
Moondarra State Park,Mount Baw Baw Region,3831.0
Boomers Nature Conservation Reserve,Panton Hill - St Andrews,3099.0
Bolton Bushland Reserve,Swan Hill Surrounds,3544.0
Carron I125 Bushland Reserve,Buloke,3393.0
Ouyen I244 Bushland Reserve,Mildura Surrounds,3489.0
Otway Forest Park,Otway,3233.0
Wilkin Flora and Fauna Reserve,Glenelg (Vic.),3292.0
Cressy Streamside Reserve,Corangamite - North,3251.0
Moglonemby Bushland Reserve,Euroa,
Mortat I32 Bushland Reserve,West Wimmera,3318.0
Mamengoroock I72 Bushland Reserve,Mildura Surrounds,3489.0
Glenmaggie Nature Conservation Reserve,Maffra,3825.0
Shepherd Creek Natural Features Reserve,Yarra Valley,3139.0
Heathcote-Graytown National Park,Nagambie,3607.0
Lower Maribyrnong Parklands,Avondale Heights,3034.0
Beabush Tank Bushland Reserve,Swan Hill Surrounds,3544.0
Peechelba - Wangaratta rail line Bushland Reserve,Wangaratta Surrounds,3677.0
Lower Goulburn National Park,Numurkah,3635.0
Echuca & Waranga Trust Irrigation Pump & Channel Historic & Cultural Features Res.,Shepparton Surrounds - West,3610.0
Black Hill Bushland Reserve,Belgrave - Selby,3556.0
Otway Forest Park,Otway,3233.0
Blond Bay Wildlife Reserve (hunting),Paynesville,3875.0
Tunstalls Nature Conservation Reserve,Maryborough Surrounds,3370.0
One Tree Swamp and Two Tree Swamp Nature Conservation Reserve,Rushworth,3523.0
Yarra Valley Parklands,Warrandyte - Wonga Park,3111.0
Bungeet H89 Bushland Reserve,Benalla Surrounds,3670.0
Ben Major Flora Reserve,Beaufort,3468.0
Glenelg River (7) Streamside Reserve,Glenelg (Vic.),3292.0
Goldie Flora Reserve,Kilmore - Broadford,
Proposed Murray River Park (part),Merbein,
Wilsons Promontory National Park,Wilsons Promontory,3960.0
Mossman Park Bushland Reserve,Stawell,3374.0
Fitzroy River Streamside Reserve,Glenelg (Vic.),3292.0
Avoca Bushland Reserve,Avoca,3467.0
Towaninny South Nature Conservation Reserve,Buloke,3393.0
Amherst Bushland Reserve,Maryborough Surrounds,3370.0
Brataualung Forest Park - Agnes River Block,Yarram,3844.0
Whroo Nature Conservation Reserve,Rushworth,3523.0
Wonthaggi Railway Historic Reserve,Wonthaggi - Inverloch,3925.0
Clydebank Frontage Gippsland Lakes Reserve,Longford - Loch Sport,3852.0
Grants Bushland Reserve,Swan Hill Surrounds,3544.0
Miram South Bushland Reserve,Nhill Region,3414.0
Greater Bendigo National Park,Bendigo Surrounds - South,
Deep Creek K17 Streamside Reserve,Romsey,3432.0
Wonthaggi G242 Bushland Reserve,Wonthaggi - Inverloch,3925.0
Lockington Bushland Reserve,Lockington - Gunbower,3562.0
Queenstown G57 Bushland Reserve,Panton Hill - St Andrews,3099.0
Mallacoota Coastal Reserve,Orbost,3885.0
"Black Swamp, Balmoral Wildlife Reserve (hunting)",Southern Grampians,3294.0
Croajingolong National Park,Orbost,3885.0
Port Phillip Bay Coastal Reserve (COM),Mount Martha,3934.0
Ben Major Nature Reserve,Beaufort,3468.0
Holey Plains State Park,Rosedale,3854.0
Pyramid Hill B.R. 2 Bushland Reserve,Loddon,3463.0
Shepparton Regional Park,Shepparton - South East,3630.0
Lysterfield Park,Belgrave - Selby,
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Gerang Gerung I71 Bushland Reserve,Nhill Region,3414.0
Goldie Flora Reserve,Kilmore - Broadford,
Tunstalls Nature Conservation Reserve,Maryborough Surrounds,3370.0
Castlemaine Diggings National Heritage Park,Castlemaine Surrounds,3364.0
Bailieston Historic & Cultural Features Res.,Nagambie,3607.0
Kinipanial Creek Historic & Cultural Features Res.,Loddon,3463.0
Proposed Murray River Park (part),Moira,3649.0
Chiltern-Mt Pilot National Park,Chiltern - Indigo Valley,3683.0
Wakiti Creek Streamside Reserve,Numurkah,3635.0
Croajingolong National Park,Orbost,3885.0
Flinders Coastal Reserve,Flinders,3916.0
Grampians National Park,Southern Grampians,3294.0
Bendigo Regional Park,Bendigo Surrounds - South,
Otway Forest Park,Otway,3233.0
Deep Lead Nature Conservation Reserve (No. 2),Stawell,3374.0
Bass Recreation Reserve,Wonthaggi - Inverloch,3925.0
Sedgwick Bushland Reserve,Bendigo Surrounds - South,
Dullard Waterhole Bushland Reserve,Lockington - Gunbower,3562.0
Pipit Nature Conservation Reserve,Lockington - Gunbower,3562.0
Peechelba - Wangaratta rail line Bushland Reserve,Wangaratta Surrounds,3677.0
Mosquito Creek Streamside Reserve,Gannawarra,3527.0
Pheasant Creek Flora Reserve,Towong,3700.0
Croajingolong National Park,Orbost,3885.0
Gerang Gerung (north) Flora Reserve,Nhill Region,3414.0
Pirlta Bushland Reserve,Mildura Surrounds,3489.0
"Sheepwash, Charam Wildlife Reserve (hunting)",West Wimmera,3318.0
River Murray Reserve (non-PV),Towong,3700.0
Wychitella Nature Conservation Reserve,Loddon,3463.0
Molison Creek Streamside Reserve,Seymour Surrounds,3444.0
Murray - Sunset National Park,Mildura Surrounds,3489.0
Nathalia Natural Features Reserve,Numurkah,3635.0
Churchill Island Marine National Park,Phillip Island,3922.0
Breamlea Flora and Fauna Reserve,Torquay,3228.0
East Wangaratta Nature Conservation Reserve,Wangaratta Surrounds,3677.0
Stuart Mill Nature Conservation Reserve,St Arnaud,3465.0
Moranding I101 Bushland Reserve,Seymour Surrounds,3444.0
Towaninny Nature Conservation Reserve,Gannawarra,3527.0
Dalyenong Nature Conservation Reserve,St Arnaud,3465.0
Watta Wella H21 Bushland Reserve,Stawell,3374.0
Enfield State Park,Golden Plains - North,3360.0
Brisbane Ranges National Park,Golden Plains - South,3328.0
Underbool Bushland Reserve,Mildura Surrounds,3489.0
Otway Forest Park,Winchelsea,3240.0
Henty Creek Bushland Reserve,Glenelg (Vic.),3292.0
Walkerville Coastal Reserve,Foster,3957.0
Tallageira Nature Conservation Reserve,West Wimmera,3318.0
Neuarpur Bushland Reserve,West Wimmera,3318.0
Dering I254 Bushland Reserve,Yarriambiack,3385.0
Kaniva I22 Bushland Reserve,Nhill Region,3414.0
Lakes Entrance - Lake Tyers Coastal Reserve,Orbost,3885.0
Ovens River J15 Streamside Reserve,Bright - Mount Beauty,3697.0
Tunstalls Nature Conservation Reserve,Maryborough Surrounds,3370.0
Carisbrook Bushland Reserve,Maryborough Surrounds,3370.0
Creswick Regional Park,Creswick - Clunes,
Wonthaggi Railway Historic Reserve,Wonthaggi - Inverloch,3925.0
Skipton Court House Historic Reserve,Corangamite - North,3251.0
Howells Hill Scenic Reserve,Buloke,3393.0
Wannon River (1) Streamside Reserve,Southern Grampians,3294.0
Youarang Natural Features Reserve,Moira,3649.0
Greater Bendigo National Park,Kangaroo Flat - Golden Square,3555.0
River Murray Reserve,Lockington - Gunbower,3562.0
North Western Port Nature Conservation Reserve,Koo Wee Rup,3981.0
Gunyah Rainforest Scenic Reserve,Yarram,3844.0
Holey Plains State Park,Rosedale,3854.0
Lyrebird Haunt Bushland Reserve,Mount Dandenong - Olinda,3154.0
North Western Port Nature Conservation Reserve,Koo Wee Rup,3981.0
Lake Curlip Wildlife Reserve (hunting),Orbost,3885.0
Lake Gnotuk Lake Reserve,Camperdown,
Western Port Coastal Reserve (COM),Hastings - Somers,3915.0
Leichardt Nature Conservation Reserve,Bendigo Surrounds - South,
Great Otway National Park,Otway,3233.0
Grassflat Swamp Flora and Fauna Reserve,Horsham Surrounds,
First and Second Islands Flora Reserve,Orbost,3885.0
Mount Gibbo Natural Features and Scenic Reserve,Alps - East,3707.0
Numurkah Natural Features Reserve,Numurkah,3635.0
Sugarloaf Reservoir Park,Panton Hill - St Andrews,3099.0
Mountain Creek Education Area,Towong,3700.0
Timor Nature Conservation Reserve,Maryborough Surrounds,3370.0
Currawa H57 Bushland Reserve,Shepparton Surrounds - East,3633.0
Brassey Mine Bushland Reserve,Castlemaine Surrounds,3364.0
River Murray Reserve (non-PV),Echuca,
Walkerville Coastal Reserve,Foster,3957.0
Wright Forest Bushland Area,Emerald - Cockatoo,3781.0
Barham Paradise Scenic Reserve,Otway,3233.0
Creswick North Natural Features Reserve,Creswick - Clunes,
Wail Bushland Reserve,Horsham Surrounds,
Murrayville Flora Reserve,Mildura Surrounds,3489.0
Tonghi Creek Streamside Reserve,Orbost,3885.0
The Waterhole Gippsland Lakes Reserve,Longford - Loch Sport,3852.0
Great Otway National Park,Otway,3233.0
Rocky Creek Highway Park,Wangaratta Surrounds,3677.0
Waanyarra Nature Conservation Reserve,Loddon,3463.0
Murrandarra Bushland Reserve,West Wimmera,3318.0
Proposed Murray River Park (part),Gannawarra,3527.0
Proposed Murray River Park (part 2) COM,Merbein,
Red Bluff Flora and Fauna Reserve,Nhill Region,3414.0
Glenfern Valley Bushland Reserve,Upwey - Tecoma,3158.0
Avoca Rifle Range Bushland Reserve,Avoca,3467.0
Longerenong Bushland Reserve,Horsham Surrounds,
Proposed Murray River Park (part),Rutherglen,3687.0
Majorca Historic & Cultural Features Res.,Maryborough Surrounds,3370.0
Sorrento Pier,Point Nepean,3941.0
Jindivick G77 Bushland Reserve,Drouin,
Lake Terrinallum Wildlife Reserve (hunting),Moyne - East,3265.0
Lake Melanydra Gippsland Lakes Reserve,Longford - Loch Sport,3852.0
Karyrie I296 Bushland Reserve,Buloke,3393.0
Walpeup Flora and Fauna Reserve,Mildura Surrounds,3489.0
Piangil - Yungera Railway Bushland Reserve,Swan Hill Surrounds,3544.0
Watseys Bushland Reserve,Yarriambiack,3385.0
Glenmaggie Nature Conservation Reserve,Maffra,3825.0
Nurmurkah - Picola rail line Bushland Reserve,Numurkah,3635.0
Mount Bolangum Nature Conservation Reserve,St Arnaud,3465.0
Jilpanger Nature Conservation Reserve,Horsham Surrounds,
Yarra Bridge Streamside Reserve,Yarra Valley,3139.0
Dandenong Ranges National Park,Montrose,
Tabilk Lagoon Wildlife Reserve (hunting),Nagambie,3607.0
Tooleen Highway Park,Rushworth,3523.0
Proposed Murray River Park (part),Swan Hill Surrounds,3544.0
Rokeby Flora Reserve,Mount Baw Baw Region,3831.0
Cooks Gully Flora Reserve,Churchill,3842.0
Holey Plains State Park,Longford - Loch Sport,3852.0
Albacutya I257 Bushland Reserve,Nhill Region,3414.0
Winjallok Bushland Reserve,St Arnaud,3465.0
Kinglake National Park,Healesville - Yarra Glen,3775.0
Warrandyte State Park,Research - North Warrandyte,3095.0
Waanyarra Nature Conservation Reserve,Loddon,3463.0
Croajingolong National Park,Orbost,3885.0
Bumbang I39 Bushland Reserve,Robinvale,
The Gap Scenic Reserve,Orbost,3885.0
Kiata Flora and Fauna Reserve,Nhill Region,3414.0
Won Wron H21 Bushland Reserve,Yarram,3844.0
State Coal Mine Historic & Cultural Features Res.,Wonthaggi - Inverloch,3925.0
Otway Forest Park,Otway,3233.0
Kiata Flora and Fauna Reserve,Nhill Region,3414.0
Barnawartha Scenic Reserve,Chiltern - Indigo Valley,3683.0
Murray - Kulkyne Park,Mildura Surrounds,3489.0
"Andersons Mill, Smeaton Historic Reserve",Creswick - Clunes,3806.0
Mount Majestic Bushland Reserve,Emerald - Cockatoo,3781.0
Bael Bael Grassland Nature Conservation Reserve,Gannawarra,3527.0
Mount Arapiles-Tooan State Park,Horsham Surrounds,
Caveat Nature Conservation Reserve,Yea,3660.0
Tallageira Nature Conservation Reserve,West Wimmera,3318.0
Chillingollah Bushland Reserve,Swan Hill Surrounds,3544.0
Tallangatta Creek K29 Streamside Reserve,Towong,3700.0
Red Cliffs (Richardson St) Natural Features Reserve,Red Cliffs,3496.0
Bay of Islands Coastal Park,Moyne - East,3265.0
Great Otway National Park,Colac Surrounds,3241.0
Redcastle Bushland Reserve,Heathcote,
Joel Joel Nature Conservation Reserve,Stawell,3374.0
Ondit N45 Lake Reserve,Colac Surrounds,3241.0
Murrabit Bushland Reserve,Gannawarra,3527.0
Proposed Murray River Park (part),Numurkah,3635.0
Wingrove Park Public Recreation Reserve,Eltham,
Toongabbie Mechanics Institute Historic Reserve,Yallourn North - Glengarry,
Grampians National Park,Ararat Surrounds,3373.0
Woorragee North I18 Bushland Reserve,Chiltern - Indigo Valley,3683.0
Wilsons Promontory National Park,Wilsons Promontory,3960.0
Moolerr I45 Bushland Reserve,St Arnaud,3465.0
Wilkin Flora and Fauna Reserve,Glenelg (Vic.),3292.0
MAJORCA WATER SUPPLY RESERVE,Maryborough Surrounds,3370.0
Woorak I60 Bushland Reserve,Nhill Region,3414.0
Kiata Flora and Fauna Reserve,Nhill Region,3414.0
River Murray Reserve (non-PV),Rutherglen,3687.0
Mount Charlie Flora Reserve,Riddells Creek,3431.0
Puckapunyal Streamside Reserve,Seymour Surrounds,3444.0
Bambill Bushland Reserve,Mildura Surrounds,3489.0
Terrick Terrick National Park,Loddon,3463.0
Yanakie Flora Reserve,Foster,3957.0
Port Campbell National Park,Corangamite - South,3260.0
Snowy River National Park,Orbost,3885.0
Terrick Terrick North Bushland Reserve,Loddon,3463.0
Wisemans Hill Bushland Reserve,Maryborough Surrounds,3370.0
Lake Tyers State Park,Orbost,3885.0
Mount Buffalo National Park,Bright - Mount Beauty,3697.0
Brown Hill Scenic Reserve,Creswick - Clunes,
Great Otway National Park,Lorne - Anglesea,3230.0
Stony Creek Nature Conservation Reserve,Foster,3957.0
Greater Bendigo National Park,Bendigo Surrounds - North,3556.0
Lake Curlip Wildlife Reserve (hunting),Orbost,3885.0
Gladfield Nature Conservation Reserve,Loddon,3463.0
Seaford Pier,Seaford (Vic.),3198.0
Cullens Lake Wildlife Reserve (hunting),Gannawarra,3527.0
Lake Boga Lake Reserve,Swan Hill Surrounds,3544.0
Coongulla I7 Bushland Reserve,Maffra,3825.0
Fairy Dell Flora Reserve,Bruthen - Omeo,3699.0
Allans Flat Bushland Reserve,Yackandandah,3695.0
McClure Bushland Reserve,Horsham Surrounds,
Grampians National Park,Ararat Surrounds,3373.0
Jilpanger Nature Conservation Reserve,West Wimmera,3318.0
Echuca Regional Park,Numurkah,3635.0
Kinypanial South Bushland Reserve,Loddon,3463.0
Kangerong Nature Conservation Reserve,Flinders,3916.0
Wonthaggi Railway Historic Reserve,Wonthaggi - Inverloch,3925.0
Cathedral Range State Park,Alexandra,3711.0
Otway Forest Park,Winchelsea,3240.0
Stratford I12 Bushland Reserve,Maffra,3825.0
Castlemaine Diggings National Heritage Park,Castlemaine Surrounds,3364.0
Musk Bushland Reserve,Daylesford,3363.0
Grampians National Park,Stawell,3374.0
Gaynor Swamp Wildlife Reserve (hunting),Rushworth,3523.0
Jericho Cemetery Historic & Cultural Features Res.,Mount Baw Baw Region,3831.0
River Murray Reserve,Numurkah,3635.0
Burrereo Bushland Reserve,Yarriambiack,3385.0
Wandin Yallock G173 Bushland Reserve,Wandin - Seville,3770.0
Murchison North Scenic Reserve,Shepparton Surrounds - West,3610.0
Lake Mannaor Wildlife Reserve (hunting),Swan Hill Surrounds,3544.0
Tallageira Nature Conservation Reserve,West Wimmera,3318.0
Bay of Islands Coastal Park,Moyne - East,3265.0
Pieracle Swamp Wildlife Reserve (hunting),Glenelg (Vic.),3292.0
Balcombe Creek Bushland Reserve,Mount Martha,3934.0
Dergholm State Park,West Wimmera,3318.0
Lilydale-Warburton Rail Trail,Lilydale - Coldstream,
Hayanmi Streamside Reserve,Loddon,3463.0
Yanac-a-yanac I44 Bushland Reserve,Nhill Region,3414.0
Echuca Historic & Cultural Features Res.,Echuca,
Gulf Station Historic & Cultural Features Res.,Healesville - Yarra Glen,3775.0
Croajingolong National Park,Orbost,3885.0
Lake Kornong Wildlife Reserve (hunting),Ararat Surrounds,3373.0
Gobur G48 Bushland Reserve,Alexandra,3711.0
Merbein South Flora Reserve,Merbein,
Dowd Morass Wildlife Reserve (hunting),Longford - Loch Sport,3852.0
Annuello Bushland Reserve,Swan Hill Surrounds,3544.0
Bay of Islands Coastal Park,Moyne - East,3265.0
Dandenong Ranges National Park,Upwey - Tecoma,3158.0
Lerderderg State Park,Gisborne,3437.0
Mocamboro Flora Reserve,Glenelg (Vic.),3292.0
Gowangardie Nature Conservation Reserve,Euroa,
Rigby Island Gippsland Lakes Reserve,Lakes Entrance,3903.0
Terrick Terrick National Park,Loddon,3463.0
Western Port Coastal Reserve (COM),Hastings - Somers,3915.0
Great Otway National Park,Lorne - Anglesea,3230.0
Heathcote I169 Bushland Reserve,Heathcote,
Yackandandah Court House Historic Reserve,Yackandandah,3695.0
Greater Bendigo National Park,Bendigo Surrounds - North,3556.0
Woomelang Bushland Reserve,Yarriambiack,3385.0
Lake Kelly  Bushland Reserve,Swan Hill Surrounds,3544.0
Bryan Swamp Wildlife Reserve (hunting),Southern Grampians,3294.0
Maribyrnong Valley Parklands,Keilor,
Kirton Bushland Reserve,Mornington - East,
Gardiners Creek Streamside Reserve,Seymour Surrounds,3444.0
Northwood Hill Bushland Reserve,Seymour Surrounds,3444.0
Yea G125 Bushland Reserve,Yea,3660.0
Dennying Channel Bushland Reserve,Mildura Surrounds,3489.0
Tutye Bushland Reserve,Mildura Surrounds,3489.0
Hurdy Gurdy Creek Nature Conservation Reserve,Wonthaggi - Inverloch,3925.0
Otway Forest Park,Otway,3233.0
Bannerton Flora and Fauna Reserve,Swan Hill Surrounds,3544.0
